filename,word_count,char_count,char_no_space_count,line_count
104-10003-10041.txt,193,1197,1003,75
104-10004-10143 (C06932208).txt,513,3179,2663,182
104-10004-10143.txt,272,1646,1372,71
104-10004-10156.txt,257,1547,1287,54
104-10004-10213.txt,6257,36003,29709,1519
104-10005-10321.txt,480,2988,2505,160
104-10006-10247.txt,553,3394,2838,161
104-10007-10345.txt,997,6006,5003,517
104-10009-10021.txt,247,1717,1468,189
104-10009-10222.txt,222,1325,1102,83
104-10012-10022.txt,533,3182,2647,114
104-10012-10024.txt,382,2137,1754,61
104-10012-10035.txt,1687,9751,8056,392
104-10012-10076.txt,742,4817,4072,283
104-10012-10078.txt,543,3279,2733,238
104-10012-10079.txt,178,1155,976,56
104-10014-10051.txt,237,1473,1235,73
104-10014-10064.txt,1055,6174,5117,209
104-10014-10065.txt,314,2075,1759,72
104-10014-10066.txt,897,5192,4292,153
104-10014-10067.txt,910,5521,4608,147
104-10016-10021.txt,317,2021,1702,87
104-10023-10087.txt,5463,33837,28355,1075
104-10048-10124.txt,3841,23908,20059,637
104-10048-10252.txt,450,2984,2532,110
104-10049-10004.txt,234,1343,1108,43
104-10049-10362.txt,612,3612,2998,73
104-10049-10375.txt,244,1526,1281,61
104-10051-10106.txt,793,4790,3995,117
104-10051-10170.txt,5488,34052,28545,1094
104-10052-10130.txt,1359,7284,5921,332
104-10055-10058.txt,1004,5606,4597,387
104-10056-10005.txt,1179,7454,6268,436
104-10057-10096.txt,740,4850,4106,182
104-10057-10117.txt,82,473,390,36
104-10059-10026.txt,10869,70776,59859,2449
104-10059-10057.txt,1099,6757,5653,287
104-10059-10099.txt,1883,12045,10153,475
104-10059-10188.txt,286,1701,1413,85
104-10059-10218.txt,1137,6744,5603,177
104-10061-10053.txt,980,6075,5091,154
104-10061-10115.txt,5057,31179,26045,2435
104-10061-10132.txt,185,1101,915,58
104-10061-10181.txt,501,3123,2620,118
104-10061-10207.txt,1788,11020,9199,792
104-10061-10208.txt,560,3323,2758,259
104-10061-10214.txt,582,3522,2937,157
104-10061-10265.txt,185,1110,924,58
104-10061-10292.txt,485,3048,2561,117
104-10061-10320.txt,510,3124,2612,125
104-10061-10386.txt,614,3670,3053,116
104-10062-10005.txt,8739,50583,41776,3229
104-10062-10046.txt,890,5486,4593,122
104-10062-10062.txt,2851,17127,14267,414
104-10062-10073.txt,1607,9537,7924,227
104-10062-10227.txt,8447,64029,55557,4629
104-10062-10256.txt,763,4709,3942,178
104-10062-10288.txt,1106,7601,6487,448
104-10063-10017.txt,523,3512,2986,169
104-10063-10149.txt,607,3649,3038,126
104-10063-10152.txt,804,4932,4124,159
104-10063-10153.txt,734,4631,3893,236
104-10063-10160.txt,586,3654,3065,172
104-10063-10162.txt,775,5048,4269,234
104-10063-10169.txt,442,2506,2062,138
104-10063-10179.txt,515,3298,2781,102
104-10063-10206.txt,256,1618,1361,73
104-10063-10266.txt,405,2571,2164,141
104-10063-10430.txt,271,1738,1465,59
104-10063-10434.txt,271,1741,1468,60
104-10063-10438.txt,1622,9697,8069,286
104-10064-10006.txt,273,1863,1588,122
104-10064-10012.txt,5713,35572,29842,875
104-10064-10015.txt,2083,13476,11383,547
104-10065-10028.txt,544,3402,2856,101
104-10065-10050.txt,117,743,625,36
104-10065-10069.txt,125,846,720,35
104-10065-10075.txt,481,3065,2582,96
104-10065-10105.txt,161,1081,919,46
104-10065-10113.txt,153,906,752,46
104-10065-10124.txt,186,1159,972,49
104-10065-10152.txt,1659,11513,9846,373
104-10065-10358.txt,387,2375,1986,84
104-10065-10360.txt,158,989,830,43
104-10065-10386.txt,349,2225,1875,73
104-10066-10010.txt,539,3391,2850,185
104-10066-10031.txt,385,2284,1897,130
104-10066-10060.txt,426,2648,2221,58
104-10066-10076.txt,2319,13694,11366,388
104-10066-10107.txt,92,569,476,38
104-10066-10238.txt,174,1122,947,42
104-10066-10239.txt,176,1126,949,42
104-10066-10240.txt,380,2359,1977,79
104-10066-10245.txt,153,924,770,51
104-10066-10260.txt,350,2218,1867,72
104-10067-10043.txt,471,3043,2570,95
104-10067-10044.txt,157,1068,910,42
104-10067-10046.txt,164,986,821,55
104-10067-10291.txt,884,5426,4539,147
104-10068-10142.txt,211,1350,1138,69
104-10068-10164.txt,124,767,642,46
104-10068-10172.txt,217,1325,1106,51
104-10069-10077.txt,561,3301,2739,72
104-10069-10112.txt,397,2335,1937,75
104-10069-10120.txt,402,2466,2062,89
104-10069-10132.txt,708,4109,3397,173
104-10069-10177.txt,692,4251,3556,119
104-10069-10185.txt,2626,15914,13283,394
104-10069-10260.txt,788,5074,4284,103
104-10069-10359.txt,345,2050,1703,105
104-10070-10009.txt,987,6114,5125,149
104-10070-10079.txt,8618,52455,43819,1472
104-10070-10272.txt,1418,10029,8605,304
104-10070-10296.txt,5971,34324,28309,1395
104-10071-10010.txt,379,2524,2143,118
104-10071-10021.txt,441,2736,2292,153
104-10071-10041.txt,667,4667,3997,239
104-10071-10043.txt,993,6555,5557,259
104-10071-10056.txt,668,3965,3295,113
104-10071-10060.txt,400,2435,2033,147
104-10071-10102.txt,1036,6424,5384,196
104-10071-10122.txt,2755,15591,12829,448
104-10071-10139.txt,613,3817,3201,225
104-10071-10143.txt,227,1340,1112,83
104-10071-10147.txt,197,1183,985,51
104-10071-10148.txt,424,2567,2141,70
104-10071-10239.txt,313,1774,1459,57
104-10071-10257.txt,345,2130,1784,86
104-10071-10324.txt,4341,27209,22858,723
104-10071-10404.txt,467,2998,2529,153
104-10071-10405.txt,243,1503,1259,91
104-10071-10407.txt,381,2352,1969,142
104-10072-10001.txt,1250,7308,6052,298
104-10072-10013.txt,347,1850,1500,101
104-10072-10034.txt,209,1356,1146,67
104-10072-10046.txt,134,839,704,58
104-10072-10212.txt,276,1874,1597,169
104-10072-10227.txt,3316,19761,16435,621
104-10072-10228.txt,2761,15751,12977,635
104-10072-10243.txt,991,5953,4959,152
104-10072-10289.txt,4840,29936,25086,1011
104-10072-10315.txt,1773,11256,9476,326
104-10073-10061.txt,289,1787,1497,73
104-10073-10074.txt,1010,6298,5285,260
104-10073-10101.txt,12078,69275,57179,1514
104-10073-10105.txt,409,2625,2214,134
104-10073-10113.txt,319,2041,1721,61
104-10073-10133.txt,302,1926,1623,77
104-10073-10279.txt,5434,33654,28204,868
104-10073-10322.txt,1083,6436,5349,240
104-10073-10350.txt,87,583,495,36
104-10073-10363.txt,71,446,374,27
104-10074-10006.txt,2193,14465,12262,559
104-10074-10007.txt,892,5544,4648,176
104-10074-10040.txt,132,903,770,50
104-10074-10066.txt,167,993,825,68
104-10074-10090.txt,464,2802,2336,125
104-10074-10095.txt,435,2630,2193,168
104-10074-10347.txt,287,1802,1513,64
104-10074-10349.txt,280,1792,1510,63
104-10074-10355.txt,1259,7586,6323,251
104-10074-10403.txt,533,3576,3040,171
104-10074-10413.txt,1106,6858,5749,203
104-10075-10042.txt,96,548,451,40
104-10075-10099.txt,532,3413,2878,129
104-10075-10200.txt,367,2054,1685,70
104-10075-10203.txt,513,2963,2448,71
104-10075-10225.txt,631,3387,2753,133
104-10075-10232.txt,199,1172,972,39
104-10075-10250.txt,239,1420,1180,54
104-10075-10365.txt,1016,6256,5236,172
104-10075-10373.txt,924,5259,4331,183
104-10076-10000.txt,172,941,768,42
104-10076-10058.txt,98,549,450,28
104-10076-10116.txt,109,633,523,37
104-10076-10153.txt,79,440,360,29
104-10076-10217.txt,135,785,649,41
104-10076-10229.txt,326,1907,1579,58
104-10076-10277.txt,280,1634,1352,65
104-10076-10295.txt,173,1034,860,44
104-10076-10371.txt,504,3055,2548,122
104-10076-10372.txt,411,2576,2162,109
104-10076-10374.txt,181,1016,834,50
104-10076-10375.txt,391,2452,2059,120
104-10076-10400.txt,399,2243,1842,79
104-10076-10416.txt,127,710,582,38
104-10076-10442.txt,469,2898,2426,102
104-10077-10067.txt,151,919,767,70
104-10077-10076.txt,149,834,684,65
104-10077-10087.txt,165,968,802,53
104-10077-10112.txt,166,1006,839,65
104-10077-10136.txt,127,763,635,49
104-10077-10153.txt,887,5326,4433,325
104-10077-10266.txt,133,789,655,65
104-10077-10285.txt,117,721,603,48
104-10077-10296.txt,166,937,770,63
104-10077-10356.txt,165,963,797,69
104-10077-10369.txt,140,837,696,66
104-10077-10382.txt,163,965,801,66
104-10078-10014.txt,1545,9657,8101,657
104-10078-10020.txt,119,725,605,53
104-10079-10016.txt,10649,62390,51663,2690
104-10079-10163.txt,492,3132,2638,155
104-10079-10231.txt,4159,26960,22771,1576
104-10079-10281.txt,487,3065,2576,195
104-10079-10391.txt,372,2303,1928,146
104-10087-10054.txt,5638,34820,29163,1304
104-10088-10070.txt,12398,79872,67445,2137
104-10088-10074.txt,5465,34133,28649,1174
104-10092-10202.txt,108,655,546,32
104-10092-10267.txt,103,564,460,32
104-10092-10340.txt,403,2538,2133,97
104-10093-10010.txt,174,1008,833,47
104-10093-10065.txt,201,1256,1053,65
104-10093-10109.txt,396,2439,2041,74
104-10093-10266.txt,382,2271,1887,94
104-10093-10279.txt,118,687,568,43
104-10095-10075.txt,1770,10214,8440,1372
104-10095-10161.txt,2441,14085,11638,1469
104-10095-10202.txt,1687,10485,8790,265
104-10095-10263.txt,680,3906,3223,247
104-10095-10276.txt,2045,12228,10176,302
104-10095-10326.txt,273,1718,1444,91
104-10096-10048.txt,1100,6733,5626,304
104-10097-10069.txt,94,556,461,36
104-10097-10077.txt,138,850,711,40
104-10097-10170.txt,236,1456,1218,84
104-10097-10360.txt,327,2013,1684,83
104-10098-10072.txt,290,1853,1562,68
104-10098-10264.txt,127,861,733,47
104-10098-10328.txt,220,1217,996,54
104-10098-10380.txt,141,804,662,51
104-10098-10391.txt,74,421,346,31
104-10098-10401.txt,521,3147,2623,150
104-10098-10404.txt,537,3056,2516,132
104-10100-10034.txt,888,5359,4466,296
104-10100-10065.txt,111,700,588,40
104-10100-10086.txt,228,1347,1118,68
104-10100-10087.txt,147,816,668,61
104-10100-10090.txt,186,1104,917,81
104-10100-10152.txt,77,477,399,43
104-10100-10157.txt,122,691,568,56
104-10100-10185.txt,120,694,573,51
104-10100-10192.txt,245,1481,1235,73
104-10100-10199.txt,842,4958,4111,328
104-10100-10200.txt,92,559,466,40
104-10100-10223.txt,665,4067,3399,191
104-10100-10237.txt,120,760,639,46
104-10100-10239.txt,114,655,540,56
104-10100-10247.txt,95,598,502,45
104-10100-10251.txt,255,1469,1213,78
104-10100-10319.txt,138,817,678,60
104-10100-10357.txt,227,1330,1102,66
104-10100-10394.txt,168,1027,858,54
104-10100-10396.txt,198,1279,1080,68
104-10100-10411.txt,169,1027,857,70
104-10100-10419.txt,101,606,504,32
104-10100-10424.txt,116,737,620,41
104-10101-10054.txt,106,647,540,42
104-10101-10109.txt,135,823,687,51
104-10101-10124.txt,93,550,456,43
104-10101-10129.txt,103,638,534,37
104-10101-10134.txt,564,3561,2994,141
104-10101-10135.txt,90,540,449,45
104-10101-10175.txt,324,2118,1792,84
104-10101-10198.txt,210,1199,987,65
104-10101-10215.txt,342,1973,1628,211
104-10101-10227.txt,110,641,530,42
104-10101-10239.txt,447,2832,2381,161
104-10101-10247.txt,86,533,446,34
104-10101-10256.txt,123,783,659,47
104-10102-10043.txt,193,1133,939,44
104-10102-10224.txt,4133,26881,22724,825
104-10102-10227.txt,2116,12881,10756,331
104-10102-10231.txt,1252,7413,6156,182
104-10102-10232.txt,831,5282,4447,129
104-10102-10233.txt,1175,7015,5836,251
104-10102-10237.txt,5113,30736,25611,747
104-10103-10038.txt,791,4741,3946,188
104-10103-10079.txt,4352,28512,24136,810
104-10103-10097.txt,3241,20252,16996,486
104-10103-10103.txt,1176,7027,5847,248
104-10103-10108.txt,819,5235,4412,121
104-10103-10112.txt,7260,43136,35859,1156
104-10103-10244.txt,173,1051,877,31
104-10103-10350.txt,1256,7477,6215,179
104-10103-10357.txt,300,1667,1366,92
104-10104-10094.txt,778,4847,4067,118
104-10104-10172.txt,460,2785,2323,107
104-10104-10262.txt,387,2373,1984,137
104-10104-10271.txt,1486,8785,7295,304
104-10105-10102.txt,1471,8766,7290,230
104-10105-10103.txt,623,3871,3242,141
104-10105-10119.txt,250,1745,1494,51
104-10105-10120.txt,2057,12722,10658,338
104-10105-10126.txt,747,4382,3632,124
104-10105-10130.txt,315,1808,1492,102
104-10105-10133.txt,342,2075,1731,94
104-10105-10137.txt,390,2306,1914,118
104-10105-10210.txt,2290,12857,10541,989
104-10105-10211.txt,199,1202,1000,110
104-10105-10212.txt,129,770,640,53
104-10105-10213.txt,671,4221,3542,329
104-10105-10218.txt,3058,17810,14743,488
104-10105-10271.txt,2209,13311,11095,408
104-10105-10277.txt,974,5641,4664,126
104-10105-10285.txt,281,1571,1288,84
104-10105-10290 (C06932214).txt,2527,15700,13165,774
104-10105-10290.txt,2670,16928,14251,1041
104-10105-10293.txt,970,5618,4645,126
104-10106-10042.txt,489,3037,2546,84
104-10106-10143.txt,4146,25048,20884,644
104-10106-10179.txt,493,2814,2319,80
104-10106-10188.txt,699,4062,3361,75
104-10106-10194.txt,187,1145,957,43
104-10106-10215.txt,354,1989,1634,93
104-10106-10217.txt,581,3416,2833,125
104-10106-10218.txt,305,1898,1592,55
104-10106-10300.txt,5170,31754,26558,1024
104-10106-10312.txt,611,3782,3168,132
104-10106-10325.txt,1144,6866,5718,220
104-10106-10421.txt,731,4119,3385,255
104-10106-10547.txt,131,885,753,38
104-10106-10716.txt,1742,11136,9390,239
104-10106-10753.txt,303,1807,1503,46
104-10107-10008.txt,2209,12572,10352,486
104-10107-10059.txt,418,2648,2228,79
104-10107-10085.txt,288,1716,1427,53
104-10107-10087.txt,207,1251,1043,38
104-10107-10089.txt,708,4065,3354,227
104-10107-10135.txt,1270,7492,6217,245
104-10107-10137.txt,639,3828,3187,100
104-10107-10178.txt,500,3302,2798,166
104-10107-10180.txt,415,2651,2234,86
104-10107-10183.txt,840,4999,4156,104
104-10107-10195.txt,762,4711,3944,210
104-10108-10026.txt,164,942,777,35
104-10109-10320.txt,289,1671,1380,59
104-10110-10095.txt,284,1968,1683,112
104-10110-10242.txt,484,2771,2285,90
104-10110-10243.txt,499,2836,2335,93
104-10110-10245.txt,2165,12479,10308,294
104-10110-10291.txt,310,1957,1646,103
104-10110-10292.txt,305,1987,1681,72
104-10110-10295.txt,324,2060,1735,114
104-10110-10298.txt,321,2087,1765,97
104-10110-10303.txt,133,894,760,41
104-10110-10305.txt,472,2735,2261,67
104-10110-10306.txt,2460,14204,11736,382
104-10110-10307.txt,317,2023,1705,115
104-10110-10314.txt,140,866,725,50
104-10110-10328.txt,155,1033,877,57
104-10110-10340.txt,125,890,764,50
104-10110-10433.txt,705,4124,3416,113
104-10110-10525.txt,436,2672,2234,78
104-10110-10527.txt,194,1221,1026,45
104-10110-10568.txt,296,1790,1493,67
104-10110-10621.txt,154,999,844,31
104-10110-10688.txt,223,1339,1115,53
104-10111-10044.txt,255,1483,1226,90
104-10111-10045.txt,223,1399,1175,125
104-10111-10076.txt,1273,8215,6939,236
104-10111-10079.txt,968,5447,4476,157
104-10111-10086.txt,137,970,832,49
104-10111-10094.txt,424,2509,2084,52
104-10111-10104.txt,364,2540,2175,186
104-10112-10148.txt,440,2840,2397,139
104-10112-10186.txt,804,5454,4644,308
104-10112-10204.txt,132,930,797,51
104-10112-10323.txt,452,2881,2427,80
104-10112-10450.txt,135,846,710,34
104-10113-10030.txt,2230,14369,12131,628
104-10113-10181.txt,104,649,544,22
104-10113-10244.txt,286,1844,1556,67
104-10113-10249.txt,589,3558,2967,98
104-10113-10254.txt,327,2068,1739,77
104-10113-10258.txt,143,876,732,39
104-10114-10042.txt,225,1306,1080,57
104-10114-10152.txt,282,1652,1369,45
104-10114-10160.txt,182,1120,937,30
104-10114-10161.txt,194,1177,982,43
104-10114-10162.txt,1028,6061,5025,243
104-10114-10163.txt,64,422,357,27
104-10115-10074.txt,437,2699,2260,79
104-10116-10261.txt,2794,17030,14228,367
104-10117-10075.txt,1097,6778,5677,292
104-10117-10076.txt,8796,56406,47590,2090
104-10117-10203.txt,2819,17144,14317,385
104-10117-10251.txt,299,2076,1775,117
104-10117-10268.txt,797,4576,3776,386
104-10117-10296.txt,148,906,757,77
104-10118-10427.txt,11313,70840,59469,1678
104-10119-10040.txt,840,4839,3996,117
104-10119-10182.txt,4299,26110,21792,648
104-10119-10183.txt,239,1479,1237,109
104-10119-10220.txt,209,1336,1126,47
104-10119-10225.txt,202,1275,1072,73
104-10119-10247.txt,476,2787,2310,57
104-10119-10338.txt,134,857,722,28
104-10119-10339.txt,137,837,699,37
104-10119-10365.txt,869,5696,4823,313
104-10119-10367.txt,1368,8252,6881,235
104-10119-10403.txt,351,2177,1825,65
104-10120-10271.txt,221,1429,1207,87
104-10120-10273.txt,207,1308,1100,48
104-10120-10274.txt,287,1632,1344,104
104-10120-10275.txt,277,1741,1463,51
104-10120-10276.txt,320,1982,1660,90
104-10120-10290.txt,162,1091,928,66
104-10120-10297.txt,167,1077,909,55
104-10120-10301.txt,134,791,656,47
104-10120-10319.txt,115,731,615,32
104-10120-10354.txt,228,1459,1230,32
104-10120-10373.txt,458,2847,2387,81
104-10120-10378.txt,560,3352,2790,117
104-10120-10381.txt,178,1244,1065,89
104-10120-10398.txt,753,4717,3961,167
104-10120-10442.txt,393,2515,2121,111
104-10120-10502.txt,228,1390,1160,103
104-10120-10652.txt,165,1058,892,41
104-10120-10657.txt,149,926,776,58
104-10120-10666.txt,141,793,651,35
104-10121-10021.txt,173,1070,896,41
104-10121-10091.txt,425,3043,2616,154
104-10121-10119.txt,293,1866,1572,113
104-10121-10130.txt,385,2326,1939,93
104-10121-10133.txt,179,1151,971,36
104-10121-10140.txt,667,4327,3657,91
104-10121-10174.txt,364,2192,1826,133
104-10121-10191.txt,214,1330,1115,42
104-10121-10197.txt,273,1649,1374,120
104-10121-10217.txt,116,698,581,34
104-10121-10226.txt,288,1686,1397,116
104-10121-10236.txt,700,4055,3352,262
104-10121-10239.txt,227,1355,1127,58
104-10121-10263.txt,437,2592,2153,77
104-10121-10304.txt,333,2089,1755,93
104-10121-10341.txt,485,3038,2551,87
104-10121-10342.txt,517,3166,2647,105
104-10121-10366.txt,325,2148,1822,88
104-10122-10135.txt,351,2401,2049,212
104-10122-10141.txt,4028,24059,20019,558
104-10122-10147.txt,622,3870,3244,142
104-10122-10279.txt,492,3056,2562,94
104-10122-10288.txt,2404,14591,12181,284
104-10122-10291.txt,768,4381,3611,90
104-10122-10307.txt,758,4248,3488,82
104-10122-10344.txt,1581,9447,7861,208
104-10122-10346.txt,1873,11172,9290,356
104-10122-10405.txt,442,2687,2243,162
104-10122-10411.txt,1147,6974,5823,224
104-10123-10017.txt,233,1378,1144,81
104-10123-10018.txt,198,1190,991,95
104-10123-10019.txt,316,1939,1622,114
104-10123-10020.txt,399,2271,1870,156
104-10123-10022.txt,236,1281,1044,87
104-10123-10097.txt,162,1074,911,51
104-10123-10098.txt,265,1644,1378,62
104-10123-10160.txt,163,962,798,43
104-10123-10219.txt,279,1722,1440,85
104-10123-10220.txt,448,2752,2303,66
104-10123-10223.txt,141,879,737,53
104-10123-10407.txt,1183,7734,6547,239
104-10123-10421.txt,106,710,603,43
104-10124-10037.txt,192,1262,1069,61
104-10124-10149.txt,387,2442,2054,60
104-10126-10194.txt,348,2159,1810,50
104-10126-10253.txt,496,3013,2516,75
104-10127-10025.txt,203,1277,1073,59
104-10128-10249.txt,151,963,811,36
104-10128-10300.txt,176,1038,861,32
104-10129-10002.txt,6411,39380,32953,1570
104-10129-10027.txt,210,1346,1135,72
